Frame,Visibility,X,Y,Z,Event,Timestamp
0,0,0.000000,0.000000,0.000000,0,0.000000
1,0,0.000000,0.000000,0.000000,0,0.033333
2,0,0.000000,0.000000,0.000000,0,0.066667
3,0,0.000000,0.000000,0.000000,0,0.100000
4,0,0.000000,0.000000,0.000000,0,0.133333
5,0,0.000000,0.000000,0.000000,0,0.166667
6,0,0.000000,0.000000,0.000000,0,0.200000
7,0,0.000000,0.000000,0.000000,0,0.233333
8,0,0.000000,0.000000,0.000000,0,0.266667
9,0,0.000000,0.000000,0.000000,0,0.300000
10,0,0.000000,0.000000,0.000000,0,0.333333
11,0,0.000000,0.000000,0.000000,0,0.366667
12,0,0.000000,0.000000,0.000000,0,0.400000
13,0,0.000000,0.000000,0.000000,0,0.433333
14,0,0.000000,0.000000,0.000000,0,0.466667
15,0,0.000000,0.000000,0.000000,0,0.500000
16,0,0.000000,0.000000,0.000000,0,0.533333
17,0,0.000000,0.000000,0.000000,0,0.566667
18,0,0.000000,0.000000,0.000000,0,0.600000
19,0,0.000000,0.000000,0.000000,0,0.633333
20,0,0.000000,0.000000,0.000000,0,0.666667
21,0,0.000000,0.000000,0.000000,0,0.700000
22,0,0.000000,0.000000,0.000000,0,0.733333
23,0,0.000000,0.000000,0.000000,0,0.766667
24,0,0.000000,0.000000,0.000000,0,0.800000
25,0,0.000000,0.000000,0.000000,0,0.833333
26,0,0.000000,0.000000,0.000000,0,0.866667
27,0,0.000000,0.000000,0.000000,0,0.900000
28,0,0.000000,0.000000,0.000000,0,0.933333
29,0,0.000000,0.000000,0.000000,0,0.966667
30,0,0.000000,0.000000,0.000000,0,1.000000
31,0,0.000000,0.000000,0.000000,0,1.033333
32,0,0.000000,0.000000,0.000000,0,1.066667
33,0,0.000000,0.000000,0.000000,0,1.100000
34,0,0.000000,0.000000,0.000000,0,1.133333
35,0,0.000000,0.000000,0.000000,0,1.166667
36,0,0.000000,0.000000,0.000000,0,1.200000
37,0,0.000000,0.000000,0.000000,0,1.233333
38,0,0.000000,0.000000,0.000000,0,1.266667
39,0,0.000000,0.000000,0.000000,0,1.300000
40,0,0.000000,0.000000,0.000000,0,1.333333
41,0,0.000000,0.000000,0.000000,0,1.366667
42,0,0.000000,0.000000,0.000000,0,1.400000
43,0,0.000000,0.000000,0.000000,0,1.433333
44,0,0.000000,0.000000,0.000000,0,1.466667
45,0,0.000000,0.000000,0.000000,0,1.500000
46,0,0.000000,0.000000,0.000000,0,1.533333
47,0,0.000000,0.000000,0.000000,0,1.566667
48,0,0.000000,0.000000,0.000000,0,1.600000
49,0,0.000000,0.000000,0.000000,0,1.633333
50,0,0.000000,0.000000,0.000000,0,1.666667
51,0,0.000000,0.000000,0.000000,0,1.700000
52,0,0.000000,0.000000,0.000000,0,1.733333
53,0,0.000000,0.000000,0.000000,0,1.766667
54,0,0.000000,0.000000,0.000000,0,1.800000
55,0,0.000000,0.000000,0.000000,0,1.833333
56,0,0.000000,0.000000,0.000000,0,1.866667
57,0,0.000000,0.000000,0.000000,0,1.900000
58,0,0.000000,0.000000,0.000000,0,1.933333
59,0,0.000000,0.000000,0.000000,0,1.966667
60,0,0.000000,0.000000,0.000000,0,2.000000
61,0,0.000000,0.000000,0.000000,0,2.033333
62,0,0.000000,0.000000,0.000000,0,2.066667
63,0,0.000000,0.000000,0.000000,0,2.100000
64,0,0.000000,0.000000,0.000000,0,2.133333
65,0,0.000000,0.000000,0.000000,0,2.166667
66,0,0.000000,0.000000,0.000000,0,2.200000
67,0,0.000000,0.000000,0.000000,0,2.233333
68,0,0.000000,0.000000,0.000000,0,2.266667
69,0,0.000000,0.000000,0.000000,0,2.300000
70,0,0.000000,0.000000,0.000000,0,2.333333
71,0,0.000000,0.000000,0.000000,0,2.366667
72,0,0.000000,0.000000,0.000000,0,2.400000
73,0,0.000000,0.000000,0.000000,0,2.433333
74,0,0.000000,0.000000,0.000000,0,2.466667
75,0,0.000000,0.000000,0.000000,0,2.500000
76,0,0.000000,0.000000,0.000000,0,2.533333
77,0,0.000000,0.000000,0.000000,0,2.566667
78,0,0.000000,0.000000,0.000000,0,2.600000
79,0,0.000000,0.000000,0.000000,0,2.633333
80,0,0.000000,0.000000,0.000000,0,2.666667
81,0,0.000000,0.000000,0.000000,0,2.700000
82,0,0.000000,0.000000,0.000000,0,2.733333
83,0,0.000000,0.000000,0.000000,0,2.766667
84,0,0.000000,0.000000,0.000000,0,2.800000
85,0,0.000000,0.000000,0.000000,0,2.833333
86,0,0.000000,0.000000,0.000000,0,2.866667
87,0,0.000000,0.000000,0.000000,0,2.900000
88,0,0.000000,0.000000,0.000000,0,2.933333
89,0,0.000000,0.000000,0.000000,0,2.966667
90,0,0.000000,0.000000,0.000000,0,3.000000
91,0,0.000000,0.000000,0.000000,0,3.033333
92,0,0.000000,0.000000,0.000000,0,3.066667
93,0,0.000000,0.000000,0.000000,0,3.100000
94,0,0.000000,0.000000,0.000000,0,3.133333
95,0,0.000000,0.000000,0.000000,0,3.166667
96,0,0.000000,0.000000,0.000000,0,3.200000
97,0,0.000000,0.000000,0.000000,0,3.233333
98,0,0.000000,0.000000,0.000000,0,3.266667
99,0,0.000000,0.000000,0.000000,0,3.300000
100,0,0.000000,0.000000,0.000000,0,3.333333
101,0,0.000000,0.000000,0.000000,0,3.366667
102,0,0.000000,0.000000,0.000000,0,3.400000
103,0,0.000000,0.000000,0.000000,0,3.433333
104,0,0.000000,0.000000,0.000000,0,3.466667
105,0,0.000000,0.000000,0.000000,0,3.500000
106,0,0.000000,0.000000,0.000000,0,3.533333
107,0,0.000000,0.000000,0.000000,0,3.566667
108,0,0.000000,0.000000,0.000000,0,3.600000
109,0,0.000000,0.000000,0.000000,0,3.633333
110,0,0.000000,0.000000,0.000000,0,3.666667
111,0,0.000000,0.000000,0.000000,0,3.700000
112,0,0.000000,0.000000,0.000000,0,3.733333
113,0,0.000000,0.000000,0.000000,0,3.766667
114,0,0.000000,0.000000,0.000000,0,3.800000
115,0,0.000000,0.000000,0.000000,0,3.833333
116,0,0.000000,0.000000,0.000000,0,3.866667
117,0,0.000000,0.000000,0.000000,0,3.900000
118,0,0.000000,0.000000,0.000000,0,3.933333
119,0,0.000000,0.000000,0.000000,0,3.966667
120,0,0.000000,0.000000,0.000000,0,4.000000
121,0,0.000000,0.000000,0.000000,0,4.033333
122,0,0.000000,0.000000,0.000000,0,4.066667
123,0,0.000000,0.000000,0.000000,0,4.100000
124,0,0.000000,0.000000,0.000000,0,4.133333
125,0,0.000000,0.000000,0.000000,0,4.166667
126,0,0.000000,0.000000,0.000000,0,4.200000
127,0,0.000000,0.000000,0.000000,0,4.233333
128,0,0.000000,0.000000,0.000000,0,4.266667
129,0,0.000000,0.000000,0.000000,0,4.300000
130,0,0.000000,0.000000,0.000000,0,4.333333
131,0,0.000000,0.000000,0.000000,0,4.366667
132,0,0.000000,0.000000,0.000000,0,4.400000
133,0,0.000000,0.000000,0.000000,0,4.433333
134,0,0.000000,0.000000,0.000000,0,4.466667
135,0,0.000000,0.000000,0.000000,0,4.500000
136,0,0.000000,0.000000,0.000000,0,4.533333
137,0,0.000000,0.000000,0.000000,0,4.566667
138,0,0.000000,0.000000,0.000000,0,4.600000
139,0,0.000000,0.000000,0.000000,0,4.633333
140,0,0.000000,0.000000,0.000000,0,4.666667
141,0,0.000000,0.000000,0.000000,0,4.700000
142,0,0.000000,0.000000,0.000000,0,4.733333
143,0,0.000000,0.000000,0.000000,0,4.766667
144,0,0.000000,0.000000,0.000000,0,4.800000
145,0,0.000000,0.000000,0.000000,0,4.833333
146,0,0.000000,0.000000,0.000000,0,4.866667
147,0,0.000000,0.000000,0.000000,0,4.900000
148,0,0.000000,0.000000,0.000000,0,4.933333
149,0,0.000000,0.000000,0.000000,0,4.966667
150,0,0.000000,0.000000,0.000000,0,5.000000
151,0,0.000000,0.000000,0.000000,0,5.033333
152,0,0.000000,0.000000,0.000000,0,5.066667
153,0,0.000000,0.000000,0.000000,0,5.100000
154,0,0.000000,0.000000,0.000000,0,5.133333
